pointid,grid_code,POINT_X,POINT_Y
344,-2187.5495605,-104.586544018655786,31.901240653151376
345,-2230.2216797,-104.581630441969537,31.901240653151376
346,-2230.2216797,-104.576716865283231,31.901240653151376
347,-2274.1127930,-104.571803288597096,31.901240653151376
348,-2274.1127930,-104.566889711910846,31.901240653151376
349,-2314.3464355,-104.561976135224597,31.901240653151376
350,-2314.3464355,-104.557062558538348,31.901240653151376
351,-2314.3464355,-104.552148981852042,31.901240653151376
352,-2353.3608398,-104.547235405165964,31.901240653151376
353,-2353.3608398,-104.542321828479714,31.901240653151376
354,-2392.9848633,-104.537408251793408,31.901240653151376
355,-2392.9848633,-104.532494675107273,31.901240653151376
356,-2432.6088867,-104.527581098421024,31.901240653151376
357,-2432.6088867,-104.522667521734775,31.901240653151376
358,-2474.3664551,-104.517753945048526,31.901240653151376
359,-2474.3664551,-104.512840368362220,31.901240653151376
360,-2517.0383301,-104.507926791676084,31.901240653151376
361,-2517.0383301,-104.503013214989835,31.901240653151376
362,-2559.7104492,-104.498099638303586,31.901240653151376
363,-2571.5976562,-104.493186061617337,31.901240653151376
364,-2571.5976562,-104.488272484931031,31.901240653151376
365,-2612.4409180,-104.483358908244895,31.901240653151376
366,-2612.4409180,-104.478445331558703,31.901240653151376
367,-2652.3696289,-104.473531754872397,31.901240653151376
368,-2652.3696289,-104.468618178186262,31.901240653151376
369,-2692.6032715,-104.463704601500012,31.901240653151376
370,-2692.6032715,-104.458791024813763,31.901240653151376
371,-2732.5319824,-104.453877448127514,31.901240653151376
372,-2732.5319824,-104.448963871441208,31.901240653151376
373,-2771.2416992,-104.444050294755073,31.901240653151376
374,-2771.2416992,-104.439136718068823,31.901240653151376
375,-2809.3415527,-104.434223141382574,31.901240653151376
376,-2809.3415527,-104.429309564696325,31.901240653151376
377,-2846.8320312,-104.424395988010019,31.901240653151376
378,-2846.8320312,-104.419482411323884,31.901240653151376
379,-2846.8320312,-104.414568834637691,31.901240653151376
380,-2884.3225098,-104.409655257951385,31.901240653151376
381,-2884.3225098,-104.404741681265136,31.901240653151376
382,-2921.8127441,-104.399828104579001,31.901240653151376
383,-2921.8127441,-104.394914527892752,31.901240653151376
384,-2959.3032227,-104.390000951206503,31.901240653151376
385,-2959.3032227,-104.385087374520197,31.901240653151376
386,-2996.4887695,-104.380173797834061,31.901240653151376
387,-2996.4887695,-104.375260221147812,31.901240653151376
388,-3033.6743164,-104.370346644461563,31.901240653151376
389,-3033.6743164,-104.365433067775314,31.901240653151376
390,-3077.2607422,-104.360519491089008,31.901240653151376
391,-3077.2607422,-104.355605914402872,31.901240653151376
