Network Code,Station Code,Longitude (WGS84),Latitude (WGS84),Affiliation,Archive,Location Description,Place,Elevation,Start Date,End Date
TX,PB18,-103.1996,31.20084,Texas Seismological Network,TXHUB,,Coyanosa,825,2019-06-28,
TX,MB07,-102.25277,32.00061,,,,"Midland, TX",880,2019-07-25,
TX,FLRS,-98.38039,29.12809,Unavailable,TXHUB,,"Floresville, TX",173,2019-09-09,
TX,PB21,-103.06216,31.341918,Unavailable,TXHUB,,"Coyanosa, TX",753,2019-09-11,
TX,SN09,-100.739412,32.672969,Unavailable,TXHUB,,"Hermleigh, TX",663,2019-10-01,
TX,MNHN,-102.76141,31.34023,,,,Crane County,750,2017-08-04,
TX,MLDN,-97.068723,29.822212,Unavailable,TXHUB,,"Muldoon, TX",104,2017-08-04,
TX,SNAG,-94.17877,31.51818,Unavailable,TXHUB,,"San Augustine, TX",84,2017-08-07,2025-01-31
TX,PLPT,-98.31578,32.81276,Unavailable,TXHUB,,"Palo Pinto, TX",336,2017-08-08,
TX,SMWD,-100.24248,35.10455,Unavailable,TXHUB,,"Samnorwood, TX",704,2017-08-09,
TX,DRZT,-100.29688,36.44401,Unavailable,TXHUB,,"Perryton, TX",791,2017-08-09,
TX,RTBA,-102.73743,36.43795,Unavailable,TXHUB,,"Rita Blanca, TX",1284,2017-08-10,
TX,DG01,-103.271077,31.377576,University of Texas,TexNet,,"Pecos,TX",787,2019-11-21,
TX,ALPN,-103.63852,30.37448,Unavailable,TXHUB,,"Alpine, TX",1368,2017-02-03,
TX,PB30,-103.3227,31.2804,,,,"Pecos,TX",829,2020-03-04,
TX,PB28,-104.50077,31.66864,Unavailable,TXHUB,,Culberson County,1204,2020-03-05,
TX,PB29,-104.514453,31.75299,Unavailable,TXHUB,,Culberson County,1242,2020-03-06,
TX,PB19,-103.099701,31.303087,,,,"West of Imperial, TX",782.4,2019-05-23,
TX,PB31,-104.030536,31.73226,Unavailable,TXHUB,,"Orla, TX",907,2020-05-21,
TX,TREL,-96.08933,32.73039,Unavailable,TXHUB,,"Terrell, TX",174,2017-08-07,
TX,DG02,-103.54313,31.40151,University of Texas,TexNet,,"Pecos, TX",804,2020-05-22,
TX,DG04,-103.41261,31.28734,University of Texas,TexNet,,"Pecos, TX",795,2020-06-02,
TX,DG05,-103.493279,31.17007,University of Texas,TexNet,,"Pecos, TX",837,2020-06-02,
TX,DG06,-103.4845,31.4124,University of Texas,TexNet,,"Pecos, TX",785,2020-06-03,
TX,DG07,-103.52788,31.452888,University of Texas,TexNet,,"Pecos, TX",794,2020-06-04,
TX,DG08,-103.7242,31.19053,University of Texas,TexNet,,"Pecos, TX",895,2020-06-04,
TX,DG09,-103.51277,31.37222,University of Texas,TexNet,,"Pecos, TX",795,2020-06-04,
TX,PB32,-103.37278,31.10306,Texas Seismological Network,TXHUB,,"Pecos, TX",861,2020-06-03,
TX,MB08,-102.328853,31.884448,University of Texas,TexNet,,"Odessa, TX",863,2020-07-09,
TX,OG01,-102.305318,31.934943,,,,,892,2020-07-08,
TX,OG02,-102.323853,31.954503,University of Texas,TexNet,,"Odessa, TX",909,2020-07-09,
TX,PB22,-103.076924,31.211658,Texas Seismological Network,TXHUB,,coyonosa,808,2020-09-03,
TX,OG04,-102.35986,31.92935,University of Texas,TexNet,,"Odessa, TX",805,2020-11-17,
TX,MB09,-101.82,32.3391,Texas Seismological Network,TexNet,,"Lenorah, TX",798.5,2021-01-11,
TX,MB10,-101.792,32.2651,University of Texas,TXHUB,,Stanton,813,2021-03-31,
TX,PB33,-104.054045,31.534929,Texas Seismological Network,TXHUB,,"Pecos, TX",1006,2020-06-03,
TX,INDO,-100.298344,28.467247,University of Texas,TXHUB,,"El Indio, TX",721,2021-05-20,
TX,PB34,-104.037778,31.676667,Unavailable,TXHUB,,"Reeves, TX",969.3,2021-07-06,
TX,ELG6,-100.3263558,28.4816558,University of Texas,TXHUB,,"SSW of El Indio, TX",229,2021-06-30,
TX,MB11,-101.972645,32.146839,Texas Seismological Network,TXHUB,,Midland,812,2021-10-05,
TX,MB12,-101.602778,32.368611,Unavailable,TXHUB,,,775.6,2022-07-13,
TX,PB35,-104.43203,31.656187,Unavailable,TXHUB,,"Van Horn, TX",1224,2022-07-27,
TX,PB37,-104.528416,31.71847,Unavailable,TXHUB,,"Van Horn, TX",1263,2022-07-29,
TX,PB38,-104.426634,31.72972,Unavailable,TXHUB,,"Van Horn, TX",1240,2022-07-29,
TX,PB40,-103.9339588,31.6419935,Unavailable,TXHUB,,,935,2022-08-21,
TX,PB42,-103.640224,31.764578,,,,Loving,830,2022-09-08,
TX,PB43,-103.864872,31.680019,Unavailable,TXHUB,,"Reeves County, TX",896,2022-09-23,
TX,MB13,-101.633469,32.321431,Unavailable,TXHUB,,"Howard County, TX",774,2022-09-29,
TX,PB20,-104.06179,31.6281,,,,"Culberson County ,TX",1022,2022-07-10,
TX,PB23,-104.07276,31.66404,,,,"Culberson Count, Texas",1005,2022-07-10,
TX,PB24,-104.01776,31.61979,,,,"Reeves County, Texas",997,2022-07-11,
TX,PB25,-104.07019,31.58308,,,,"Culberson County, Texas",1037,2022-07-11,
TX,PB26,-104.12579,31.57819,,,,"Culberson County, Texas",1065,2022-07-10,
